well,start_date,end_date,baseline_before,baseline_during,min_q,max_q,duration_days
1115,12-07-2023,20-08-2023,200,224,215,232,40
1115,21-08-2023,17-10-2023,224,163,0,0,58
1115,18-10-2023,04-05-2024,163,146,143,150,200
1115,05-05-2024,01-06-2024,146,111,106,125,28
1115,02-06-2024,20-08-2024,111,157,137,170,80
1115,21-08-2024,11-09-2024,157,110,89,123,22
1115,12-09-2024,07-10-2024,110,136,118,156,26
1115,08-10-2024,22-10-2024,136,95,72,108,15
1115,23-10-2024,14-04-2025,95,110,110,110,174
1115,15-04-2025,01-05-2025,110,0,0,0,17
1120,08-02-2024,01-06-2024,110,214,203,244,115
1120,02-06-2024,02-07-2024,214,276,240,289,31
1120,03-07-2024,17-08-2024,276,234,0,0,46
1120,18-08-2024,03-09-2024,234,231,192,254,17
1120,04-09-2024,13-09-2024,231,174,0,0,10
1120,14-09-2024,04-10-2024,174,179,155,223,21
1120,05-10-2024,18-10-2024,179,140,124,151,14
1120,19-10-2024,01-05-2025,140,188,174,199,195
1140,10-06-2023,20-07-2023,322,345,0,0,41
1140,21-07-2023,04-08-2023,345,364,320,464,15
1140,05-08-2023,20-08-2023,364,306,290,345,16
1140,21-08-2023,04-10-2023,306,395,324,429,45
1140,05-10-2023,15-10-2023,395,321,306,331,11
1140,16-10-2023,06-11-2023,321,46,41,50,22
1140,07-11-2023,14-12-2023,46,290,269,323,38
1140,15-12-2023,23-12-2023,290,38,33,41,9
1140,24-12-2023,17-04-2024,38,258,239,282,116
1140,18-04-2024,01-06-2024,258,89,84,99,45
1140,02-06-2024,24-06-2024,89,108,105,111,23
1140,25-06-2024,03-07-2024,108,409,378,450,9
1140,04-07-2024,17-08-2024,409,306,0,0,45
1140,18-08-2024,03-09-2024,306,328,291,394,17
1140,04-09-2024,11-09-2024,328,294,0,0,8
1140,12-09-2024,10-10-2024,294,306,273,344,29
1140,11-10-2024,25-10-2024,306,197,164,218,15
1140,26-10-2024,30-03-2025,197,211,181,229,156
1140,31-03-2025,01-05-2025,211,186,156,202,32
1174,16-06-2023,29-06-2023,34,135,118,157,14
1174,30-06-2023,21-07-2023,135,101,90,114,22
1174,22-07-2023,11-10-2023,101,184,167,205,82
