well,oil_start,q_start,p_start,oil_end,q_end,p_end,duration_days_oil,ppd_well,ppd_start,ppd_end,duration_days_ppd
1994,2024-12-19,95.0,28.0,2024-12-25,95.0,28.0,7,629,2024-12-19,2025-04-01,104
601,2024-12-19,90.0,38.3,2024-12-25,89.0,36.9,7,629,2024-12-19,2025-04-01,104
1994,2025-04-02,95.0,23.3,2025-04-08,95.0,23.4,7,629,2025-04-02,2025-04-23,22
601,2025-04-02,88.0,31.3,2025-04-08,97.0,31.0,7,629,2025-04-02,2025-04-23,22
1994,2023-08-09,107.0,17.6,2023-08-15,105.0,16.6,7,688,2023-08-09,2023-10-10,63
1994,2023-10-11,94.0,16.7,2023-10-17,93.0,17.5,7,688,2023-10-11,2024-01-23,105
601,2023-10-11,130.0,139.4,2023-11-09,122.0,123.9,30,688,2023-10-11,2024-01-23,105
1994,2024-01-24,93.0,35.2,2024-01-30,93.0,35.2,7,688,2024-01-24,2024-03-21,58
601,2024-01-24,120.0,78.9,2024-02-22,112.0,65.4,30,688,2024-01-24,2024-03-21,58
1994,2024-03-22,68.0,21.0,2024-03-28,69.0,22.1,7,688,2024-03-22,2024-04-14,24
601,2024-03-22,106.0,57.2,2024-03-28,101.0,55.1,7,688,2024-03-22,2024-04-14,24
1994,2024-04-15,71.0,26.1,2024-04-21,72.0,26.3,7,688,2024-04-15,2024-06-26,73
601,2024-04-15,96.0,51.4,2024-04-21,93.0,51.2,7,688,2024-04-15,2024-06-26,73
1994,2024-06-27,84.0,29.5,2024-07-03,85.0,29.9,7,688,2024-06-27,2024-07-21,25
601,2024-06-27,92.0,41.7,2024-07-03,86.0,41.7,7,688,2024-06-27,2024-07-21,25
1994,2024-07-22,84.0,30.6,2024-07-28,84.0,31.1,7,688,2024-07-22,2025-04-29,282
601,2024-07-22,88.0,40.6,2024-07-28,87.0,41.1,7,688,2024-07-22,2025-04-29,282
1994,2023-07-06,111.0,21.1,2023-07-12,107.0,20.3,7,577,2023-07-06,2023-09-14,71
1994,2023-09-15,85.0,16.2,2023-09-21,88.0,16.9,7,577,2023-09-15,2023-11-29,76
601,2023-09-15,132.0,164.7,2023-10-14,128.0,137.7,30,577,2023-09-15,2023-11-29,76
1994,2023-11-30,94.0,17.1,2023-12-06,91.0,17.1,7,577,2023-11-30,2024-02-11,74
601,2023-11-30,126.0,112.4,2023-12-29,124.0,94.3,30,577,2023-11-30,2024-02-11,74
1994,2024-02-12,103.0,35.2,2024-03-12,68.0,21.7,30,577,2024-02-12,2024-05-19,98
601,2024-02-12,112.0,69.8,2024-02-18,112.0,67.2,7,577,2024-02-12,2024-05-19,98
1994,2024-05-20,82.0,23.1,2024-05-26,83.0,24.3,7,577,2024-05-20,2024-07-08,50
601,2024-05-20,92.0,45.7,2024-05-26,93.0,44.4,7,577,2024-05-20,2024-07-08,50
1994,2024-07-09,83.0,30.2,2024-07-15,85.0,30.2,7,577,2024-07-09,2024-08-28,51
601,2024-07-09,88.0,41.6,2024-07-15,88.0,41.3,7,577,2024-07-09,2024-08-28,51
1994,2024-08-29,92.0,31.1,2024-09-04,93.0,31.4,7,577,2024-08-29,2024-10-13,46
601,2024-08-29,78.0,45.7,2024-09-27,77.0,39.7,30,577,2024-08-29,2024-10-13,46
1994,2024-10-14,94.0,27.1,2024-10-20,91.0,26.9,7,577,2024-10-14,2025-04-30,199
601,2024-10-14,80.0,59.9,2024-11-12,94.0,92.3,30,577,2024-10-14,2025-04-30,199
1994,2023-09-14,87.0,17.1,2023-09-20,88.0,16.4,7,631,2023-09-14,2023-11-22,70
601,2023-09-14,125.0,166.1,2023-10-13,128.0,138.2,30,631,2023-09-14,2023-11-22,70
1994,2023-11-23,92.0,17.5,2023-11-29,93.0,17.3,7,631,2023-11-23,2023-11-29,7
601,2023-11-23,127.0,116.3,2023-11-29,124.0,113.1,7,631,2023-11-23,2023-11-29,7
1994,2023-11-30,94.0,17.1,2023-12-06,91.0,17.1,7,631,2023-11-30,2024-02-11,74
601,2023-11-30,126.0,112.4,2023-12-29,124.0,94.3,30,631,2023-11-30,2024-02-11,74
1994,2024-02-12,103.0,35.2,2024-03-12,68.0,21.7,30,631,2024-02-12,2024-05-20,99
601,2024-02-12,112.0,69.8,2024-02-18,112.0,67.2,7,631,2024-02-12,2024-05-20,99
1994,2024-05-21,83.0,23.2,2024-05-27,85.0,24.4,7,631,2024-05-21,2024-06-12,23
601,2024-05-21,92.0,45.5,2024-05-27,93.0,44.1,7,631,2024-05-21,2024-06-12,23
1994,2024-06-13,85.0,26.8,2024-06-19,85.0,28.2,7,631,2024-06-13,2024-06-19,7
601,2024-06-13,94.0,42.8,2024-06-19,94.0,42.0,7,631,2024-06-13,2024-06-19,7
1994,2024-06-20,84.0,28.3,2024-06-26,84.0,29.3,7,631,2024-06-20,2024-08-07,49
601,2024-06-20,94.0,42.1,2024-06-26,94.0,41.8,7,631,2024-06-20,2024-08-07,49
1994,2024-08-08,89.0,29.7,2024-08-14,91.0,29.9,7,631,2024-08-08,2024-08-26,19
601,2024-08-08,84.0,41.6,2024-08-14,83.0,41.6,7,631,2024-08-08,2024-08-26,19
1994,2024-08-27,94.0,31.0,2024-09-02,92.0,31.3,7,631,2024-08-27,2024-10-13,48
601,2024-08-27,78.0,45.4,2024-09-02,69.0,47.6,7,631,2024-08-27,2024-10-13,48
1994,2024-10-14,94.0,27.1,2024-10-20,91.0,26.9,7,631,2024-10-14,2025-04-30,199
601,2024-10-14,80.0,59.9,2024-11-12,94.0,92.3,30,631,2024-10-14,2025-04-30,199
595,2023-08-23,26.0,233.0,2023-08-29,16.0,233.0,7,682,2023-08-23,2023-10-13,52
624,2023-08-23,42.0,20.5,2023-08-29,44.0,20.3,7,682,2023-08-23,2023-10-13,52
712,2023-08-23,41.0,15.7,2023-08-29,36.0,15.9,7,682,2023-08-23,2023-10-13,52
595,2023-10-14,31.0,233.0,2023-10-20,29.0,233.0,7,682,2023-10-14,2023-10-22,9
624,2023-10-14,47.0,17.5,2023-10-20,47.0,17.0,7,682,2023-10-14,2023-10-22,9
712,2023-10-14,34.0,17.0,2023-10-20,34.0,17.0,7,682,2023-10-14,2023-10-22,9
595,2023-10-23,29.0,233.0,2023-10-29,29.0,233.0,7,682,2023-10-23,2023-11-12,21
624,2023-10-23,46.0,16.7,2023-10-29,44.0,16.2,7,682,2023-10-23,2023-11-12,21
712,2023-10-23,33.0,17.2,2023-10-29,34.0,17.0,7,682,2023-10-23,2023-11-12,21
595,2023-11-13,36.0,233.0,2023-11-19,30.0,233.0,7,682,2023-11-13,2024-03-15,124
624,2023-11-13,42.0,14.9,2023-11-19,45.0,14.4,7,682,2023-11-13,2024-03-15,124
712,2023-11-13,33.0,17.2,2023-11-19,32.0,17.3,7,682,2023-11-13,2024-03-15,124
595,2024-03-16,30.0,233.0,2024-03-22,30.0,233.0,7,682,2024-03-16,2024-04-03,19
624,2024-03-16,51.0,10.2,2024-03-22,50.0,9.3,7,682,2024-03-16,2024-04-03,19
712,2024-03-16,23.0,23.8,2024-04-03,19.0,20.0,19,682,2024-03-16,2024-04-03,19
